day,pp_id,server,path,date,image
11-Dec,18606,ecwebs01.llbean.com,/llb/shop/,?currentDate=12-11-2015-0000,151113_PGC_P5.png
12-Dec,63913,ecwebs01.llbean.com,/llb/shop/,?currentDate=12-12-2015-0000,151211_P5_25.png
13-Dec,18145,ecwebs01.llbean.com,/llb/shop/,?currentDate=12-13-2015-0000,151211_P5_20.png
14-Dec,62852,ecwebs01.llbean.com,/llb/shop/,?currentDate=12-14-2015-0000,151211_P5_20.png
15-Dec,88754,ecwebs01.llbean.com,/llb/shop/,?currentDate=12-15-2015-0000,151211_P5_15.png
